iter	RMSE
0	0.8303372548
1	0.7783722382
2	0.7334388531
3	0.6893359473
4	0.6500511733
5	0.6147776646
6	0.5839782844
7	0.5580333544
8	0.5306866254
9	0.5105321787
10	0.4906540524
11	0.468747056
12	0.4495607941
13	0.4342042054
14	0.4182945303
15	0.4004145139
16	0.3834423262
17	0.3689241607
18	0.3549011343
19	0.3447893298
20	0.3359053059
21	0.3249918449
22	0.3162053625
23	0.3059239596
24	0.2966339278
25	0.2878045438
26	0.2797177475
27	0.2717001535
28	0.2650315158
29	0.2590286954
30	0.2523845517
31	0.2469312847
32	0.2413103124
33	0.2354536951
34	0.2305439614
35	0.2260819644
36	0.2209505382
37	0.2174068816
38	0.2132528503
39	0.2084257753
40	0.2039128244
41	0.1997903133
42	0.1957187744
43	0.1927419852
44	0.1889865149
45	0.1859495963
46	0.1822802589
47	0.1792209482
48	0.1764603451
49	0.1743624523
50	0.171927695
51	0.1683409136
52	0.1652719047
53	0.1622345898
54	0.1597160834
55	0.1573659442
56	0.1545599591
57	0.1525206067
58	0.150396035
59	0.1476068663
60	0.1450367439
61	0.1429510973
62	0.1405567753
63	0.1387131251
64	0.1367703386
65	0.1345947035
66	0.1325704261
67	0.130862729
68	0.1290054347
69	0.1272474422
70	0.1256410875
71	0.1236890505
72	0.1221176721
73	0.1209630845
74	0.1194682897
75	0.1181456599
76	0.1162363706
77	0.1147480492
78	0.113043326
79	0.1115377694
80	0.1103802785
81	0.1088761946
82	0.1076116091
83	0.1064117774
84	0.1050478065
85	0.1039738046
86	0.1029806632
87	0.102029704
88	0.100837458
89	0.09985999015
90	0.09864406443
91	0.09753470496
92	0.09654219168
93	0.09564968426
94	0.09479084037
95	0.09390474903
96	0.09289076639
97	0.09195361535
98	0.09123870019
99	0.09071096506
100	0.08977114157
101	0.08889618051
102	0.08791064913
103	0.08717815211
104	0.08664220889
105	0.08593753264
106	0.08502696337
107	0.08449110734
108	0.08376187359
109	0.08292888048
110	0.08236567295
111	0.08183013825
112	0.08104573875
113	0.08039267234
114	0.07963558474
115	0.07920794854
116	0.07859756255
117	0.07788959854
118	0.07746680754
119	0.07697520069
120	0.07626916702
121	0.07575924781
122	0.07532134693
123	0.07473758752
124	0.07439657682
125	0.07380513889
126	0.0731903697
127	0.07272010602
128	0.07236032631
129	0.07181399225
130	0.07138033182
131	0.07105996464
132	0.07047618481
133	0.0701542308
134	0.06962915845
135	0.06926760252
136	0.0687638752
137	0.06841075404
138	0.06801650368
139	0.06772847381
140	0.06728270392
141	0.06690443073
142	0.06651394099
143	0.06611153453
144	0.06582623912
145	0.06541400862
146	0.0651666363
147	0.0648712117
148	0.0646246708
149	0.06423581129
150	0.06389630956
151	0.06361318679
152	0.06330959776
153	0.06298417705
154	0.06274709171
155	0.06236672473
156	0.06209329535
157	0.06184807933
158	0.06151711185
159	0.0612082854
160	0.0609414484
161	0.06066298874
162	0.06038548007
163	0.06007168881
164	0.05981567786
165	0.05955204213
166	0.05931369975
167	0.05905715936
168	0.05878678033
169	0.0585705779
170	0.05835354783
171	0.05816661804
172	0.05798046107
173	0.05775023225
174	0.05747757688
175	0.05733366295
176	0.05706044483
177	0.056800674
178	0.05655005117
179	0.05636004064
180	0.05618241686
181	0.05596179705
182	0.05577011083
183	0.05563351213
184	0.05546186002
185	0.0552183487
186	0.0550351256
187	0.05482807102
188	0.05465831869
189	0.05452163576
190	0.05431434889
191	0.05411302943
192	0.05397275507
193	0.05379827902
194	0.05360706112
195	0.0534820029
196	0.05328677717
197	0.05314976906
198	0.0529867638
